student_1,student_2,location,date,time
62987,,Corridor1,14-12-2020,19:54:16
62987,,Corridor1,14-12-2020,19:54:17
62987,,Corridor1,14-12-2020,19:54:19
62987,,Corridor1,14-12-2020,19:54:20
62987,,Corridor1,14-12-2020,19:54:22
62987,,Corridor1,14-12-2020,19:54:23
62987,,Corridor1,14-12-2020,19:54:33
62988,,Corridor1,14-12-2020,19:54:44
62988,,Corridor1,14-12-2020,19:54:45
62988,,Corridor1,14-12-2020,19:54:45
62988,,Corridor1,14-12-2020,19:54:45
62988,,Corridor1,14-12-2020,19:54:46
62988,,Corridor1,14-12-2020,19:54:47
62988,,Corridor1,14-12-2020,19:54:48
62988,,Corridor1,14-12-2020,19:54:49
62988,,Corridor1,14-12-2020,19:54:50
62988,,Corridor1,14-12-2020,19:54:51
62363,,Corridor1,14-12-2020,19:54:52
62988,,Corridor1,14-12-2020,19:54:53
62988,,Corridor1,14-12-2020,19:54:55
62988,,Corridor1,14-12-2020,19:54:56
62988,,Corridor1,14-12-2020,19:54:57
62988,,Corridor1,14-12-2020,19:54:58
62988,,Corridor1,14-12-2020,19:54:59
62988,,Corridor1,14-12-2020,19:55:01
62988,,Corridor1,14-12-2020,19:55:02
62988,,Corridor1,14-12-2020,19:55:04
62988,,Corridor1,14-12-2020,19:55:06
62988,,Corridor1,14-12-2020,19:55:06
62988,,Corridor1,14-12-2020,19:55:06
62988,,Corridor1,14-12-2020,19:55:07
62988,,Corridor1,14-12-2020,19:55:07
62988,,Corridor1,14-12-2020,19:55:07
62988,,Corridor1,14-12-2020,19:55:07
62988,,Corridor1,14-12-2020,19:55:08
62988,,Corridor1,14-12-2020,19:55:08
62988,,Corridor1,14-12-2020,19:55:08
62988,,Corridor1,14-12-2020,19:55:09
62988,,Corridor1,14-12-2020,19:55:09
62988,,Corridor1,14-12-2020,19:55:09
62988,,Corridor1,14-12-2020,19:55:10
62988,,Corridor1,14-12-2020,19:55:10
62988,,Corridor1,14-12-2020,19:55:10
62988,,Corridor1,14-12-2020,19:55:11
62988,,Corridor1,14-12-2020,19:55:11
62988,,Corridor1,14-12-2020,19:55:11
62988,,Corridor1,14-12-2020,19:55:11
62988,,Corridor1,14-12-2020,19:55:12
62988,,Corridor1,14-12-2020,19:55:12
62988,,Corridor1,14-12-2020,19:55:12
62988,,Corridor1,14-12-2020,19:55:13
62988,,Corridor1,14-12-2020,19:55:13
62988,,Corridor1,14-12-2020,19:55:13
62988,,Corridor1,14-12-2020,19:55:14
62988,,Corridor1,14-12-2020,19:55:14
62988,,Corridor1,14-12-2020,19:55:14
62988,,Corridor1,14-12-2020,19:55:15
62988,,Corridor1,14-12-2020,19:55:15
62988,,Corridor1,14-12-2020,19:55:15
12345,,Corridor1,14-12-2020,19:55:16
12345,Unknown,Corridor1,14-12-2020,19:55:18
12345,Unknown,Corridor1,14-12-2020,19:55:19
12345,Unknown,Corridor1,14-12-2020,19:55:21
12345,,Corridor1,14-12-2020,19:55:22
12345,,Corridor1,14-12-2020,19:55:23
12345,,Corridor1,14-12-2020,19:55:23
12345,,Corridor1,14-12-2020,19:55:23
12345,,Corridor1,14-12-2020,19:55:24
12345,,Corridor1,14-12-2020,19:55:38
12345,,Corridor1,14-12-2020,19:55:38
12345,,Corridor1,14-12-2020,19:55:38
12345,,Corridor1,14-12-2020,19:55:39
12345,,Corridor1,14-12-2020,19:55:39
12345,,Corridor1,14-12-2020,19:55:39
12345,,Corridor1,14-12-2020,19:55:40
12345,,Corridor1,14-12-2020,19:55:40
